,index,bowler,innings,runs,deliveries,wickets,bowled,lbw,caught,c_and_b,stumped,bowling_team,match_id
394,1,AJ Finch,2,13,12,0.0,0.0,0.0,0.0,0.0,0.0,Australia,932855
395,2,AM Phangiso,1,52,54,1.0,0.0,0.0,1.0,0.0,0.0,South Africa,932855
396,3,Imran Tahir,1,45,54,2.0,1.0,1.0,0.0,0.0,0.0,South Africa,932855
397,4,JP Duminy,1,37,44,0.0,0.0,0.0,0.0,0.0,0.0,South Africa,932855
398,5,JP Faulkner,2,32,42,0.0,0.0,0.0,0.0,0.0,0.0,Australia,932855
399,6,JR Hazlewood,2,51,59,3.0,1.0,0.0,2.0,0.0,0.0,Australia,932855
400,7,K Rabada,1,63,51,1.0,0.0,1.0,0.0,0.0,0.0,South Africa,932855
401,8,KJ Abbott,1,48,62,1.0,0.0,0.0,1.0,0.0,0.0,South Africa,932855
402,9,MA Starc,2,42,61,3.0,1.0,0.0,2.0,0.0,0.0,Australia,932855
403,10,MR Marsh,2,52,54,0.0,0.0,0.0,0.0,0.0,0.0,Australia,932855
404,11,WD Parnell,1,34,42,1.0,0.0,0.0,1.0,0.0,0.0,South Africa,932855
405,0,A Zampa,1,44,62,1.0,0.0,0.0,1.0,0.0,0.0,Australia,932853
406,1,AJ Finch,1,11,18,0.0,0.0,0.0,0.0,0.0,0.0,Australia,932853
407,2,AM Phangiso,2,26,32,2.0,0.0,1.0,1.0,0.0,0.0,South Africa,932853
408,3,GJ Maxwell,1,15,18,2.0,1.0,0.0,1.0,0.0,0.0,Australia,932853
409,4,Imran Tahir,2,39,48,2.0,0.0,1.0,1.0,0.0,0.0,South Africa,932853
410,5,JR Hazlewood,1,19,61,2.0,1.0,1.0,0.0,0.0,0.0,Australia,932853
411,6,K Rabada,2,13,42,3.0,2.0,0.0,1.0,0.0,0.0,South Africa,932853
412,7,MR Marsh,1,18,24,0.0,0.0,0.0,0.0,0.0,0.0,Australia,932853
413,8,NM Coulter-Nile,1,36,62,2.0,2.0,0.0,0.0,0.0,0.0,Australia,932853
414,9,NM Lyon,1,40,60,1.0,0.0,1.0,0.0,0.0,0.0,Australia,932853
415,10,T Shamsi,2,36,48,1.0,0.0,1.0,0.0,0.0,0.0,South Africa,932853
416,11,WD Parnell,2,23,36,2.0,0.0,2.0,0.0,0.0,0.0,South Africa,932853
417,0,A Zampa,1,16,33,3.0,1.0,0.0,1.0,0.0,1.0,Australia,932851
418,1,ADS Fletcher,2,4,4,0.0,0.0,0.0,0.0,0.0,0.0,West Indies,932851
419,2,CR Brathwaite,2,14,18,0.0,0.0,0.0,0.0,0.0,0.0,West Indies,932851
420,3,GJ Maxwell,1,3,12,1.0,0.0,1.0,0.0,0.0,0.0,Australia,932851
421,4,JE Taylor,2,20,18,0.0,0.0,0.0,0.0,0.0,0.0,West Indies,932851
422,5,JO Holder,2,21,18,1.0,0.0,1.0,0.0,0.0,0.0,West Indies,932851
423,6,JR Hazlewood,1,12,19,0.0,0.0,0.0,0.0,0.0,0.0,Australia,932851
424,7,MA Starc,1,30,60,2.0,1.0,0.0,1.0,0.0,0.0,Australia,932851
425,8,MR Marsh,1,5,18,1.0,0.0,0.0,1.0,0.0,0.0,Australia,932851
426,9,NM Lyon,1,36,62,3.0,0.0,1.0,1.0,1.0,0.0,Australia,932851
427,10,SJ Benn,2,21,36,1.0,0.0,0.0,1.0,0.0,0.0,West Indies,932851
428,11,SP Narine,2,36,60,2.0,1.0,1.0,0.0,0.0,0.0,West Indies,932851
429,0,AM Phangiso,2,38,62,3.0,0.0,2.0,1.0,0.0,0.0,South Africa,932849
430,1,CH Morris,2,20,44,0.0,0.0,0.0,0.0,0.0,0.0,South Africa,932849
