,index,batsman,innings,runs,balls_faced,zeros,ones,twos,threes,fours,fives,sixes,dismissal_type,strike_batsman_x,offstrike_batsman,bowler,out,batting_pos,strike_batsman_y,batting_team,match_id
5504,10,KC Sangakkara,2,117,88,23,44,7,1,11,0,2,,,,,False,3,KC Sangakkara,Sri Lanka,656441
5505,0,Amjad Ali,1,4,13,9,4,0,0,0,0,0,caught,Amjad Ali,Krishna Chandran,B Kumar,True,1,Amjad Ali,United Arab Emirates,656439
5506,1,AR Berenger,1,4,9,8,0,0,0,1,0,0,caught,AR Berenger,Amjad Ali,UT Yadav,True,2,AR Berenger,United Arab Emirates,656439
5507,2,Krishna Chandran,1,4,29,26,2,1,0,0,0,0,caught,Krishna Chandran,Khurram Khan,R Ashwin,True,3,Krishna Chandran,United Arab Emirates,656439
5508,3,Khurram Khan,1,14,30,20,8,1,0,1,0,0,caught,Khurram Khan,Shaiman Anwar,R Ashwin,True,4,Khurram Khan,United Arab Emirates,656439
5509,4,SP Patil,1,7,20,16,3,0,0,1,0,0,caught,SP Patil,Khurram Khan,R Ashwin,True,5,SP Patil,United Arab Emirates,656439
5510,5,Shaiman Anwar,1,35,50,34,9,1,0,6,0,0,bowled,Shaiman Anwar,AM Guruge,UT Yadav,True,6,Shaiman Anwar,United Arab Emirates,656439
5511,6,Rohan Mustafa,1,2,12,11,0,1,0,0,0,0,lbw,Rohan Mustafa,Shaiman Anwar,MM Sharma,True,7,Rohan Mustafa,United Arab Emirates,656439
5512,7,Amjad Javed,1,2,6,5,0,1,0,0,0,0,caught,Amjad Javed,Shaiman Anwar,RA Jadeja,True,8,Amjad Javed,United Arab Emirates,656439
5513,8,Mohammad Naveed,1,6,7,6,0,0,0,0,0,1,bowled,Mohammad Naveed,Shaiman Anwar,R Ashwin,True,9,Mohammad Naveed,United Arab Emirates,656439
5514,9,Mohammad Tauqir,1,1,5,4,1,0,0,0,0,0,bowled,Mohammad Tauqir,Shaiman Anwar,RA Jadeja,True,10,Mohammad Tauqir,United Arab Emirates,656439
5515,10,AM Guruge,1,10,16,12,1,1,1,1,0,0,,,,,False,11,AM Guruge,United Arab Emirates,656439
5516,11,RG Sharma,2,57,55,33,11,0,0,10,0,1,,,,,False,1,RG Sharma,India,656439
5517,12,S Dhawan,2,14,17,12,2,0,0,3,0,0,caught,S Dhawan,RG Sharma,Mohammad Naveed,True,2,S Dhawan,India,656439
5518,13,V Kohli,2,33,41,25,9,2,0,5,0,0,,,,,False,3,V Kohli,India,656439
5519,0,AJ Finch,1,14,8,4,1,0,1,1,0,1,bowled,AJ Finch,DA Warner,TG Southee,True,1,AJ Finch,Australia,656437
5520,1,DA Warner,1,34,44,26,10,5,0,2,0,1,lbw,DA Warner,MJ Clarke,TG Southee,True,2,DA Warner,Australia,656437
5521,2,SR Watson,1,23,31,17,9,3,0,2,0,0,caught,SR Watson,DA Warner,DL Vettori,True,3,SR Watson,Australia,656437
5522,3,MJ Clarke,1,12,18,11,4,2,0,1,0,0,caught,MJ Clarke,BJ Haddin,TA Boult,True,4,MJ Clarke,Australia,656437
5523,4,SPD Smith,1,4,11,8,2,1,0,0,0,0,caught,SPD Smith,MJ Clarke,DL Vettori,True,5,SPD Smith,Australia,656437
5524,5,GJ Maxwell,1,1,3,2,1,0,0,0,0,0,bowled,GJ Maxwell,MJ Clarke,TA Boult,True,6,GJ Maxwell,Australia,656437
5525,6,MR Marsh,1,0,3,3,0,0,0,0,0,0,bowled,MR Marsh,MJ Clarke,TA Boult,True,7,MR Marsh,Australia,656437
5526,7,BJ Haddin,1,43,42,24,9,3,0,4,0,2,caught,BJ Haddin,PJ Cummins,CJ Anderson,True,8,BJ Haddin,Australia,656437
