,match_id,home_team,away_team,gender,season,competition,match_number,venue,city,toss_winner,toss_decision,umpire,umpire_2,reserve_umpire,match_referee,winner,winner_wickets,start_date,end_date,winner_runs,series,player_of_match,tv_umpire,neutralvenue,outcome,method,player_of_match_2,reserve_umpire_2,eliminator,match_number_2
1161,247490,Bangladesh,South Africa,male,2006/07,ICC World Cup,34,Providence Stadium,Guyana,South Africa,field,MR Benson,BR Doctrove,DJ Harper,BC Broad,Bangladesh,,2007/04/07,2007/04/07,67,,Mohammad Ashraful,SA Bucknor,true,,,,,,
1162,247489,England,Sri Lanka,male,2006/07,ICC World Cup,33,"Sir Vivian Richards Stadium, North Sound",Antigua,England,field,Asad Rauf,BF Bowden,Aleem Dar,JJ Crowe,Sri Lanka,,2007/04/04,2007/04/04,2,,RS Bopara,RE Koertzen,true,,,,,,
1163,247488,Ireland,South Africa,male,2006/07,ICC World Cup,32,Providence Stadium,Guyana,South Africa,field,DJ Harper,SJA Taufel,BR Doctrove,RS Madugalle,South Africa,7,2007/04/03,2007/04/03,,,JH Kallis,MR Benson,true,,D/L,,,,
1164,247487,Bangladesh,New Zealand,male,2006/07,ICC World Cup,31,"Sir Vivian Richards Stadium, North Sound",Antigua,New Zealand,field,Aleem Dar,RE Koertzen,BF Bowden,MJ Procter,New Zealand,9,2007/04/02,2007/04/02,,,SE Bond,Asad Rauf,true,,,,,,
1165,247486,West Indies,Sri Lanka,male,2006/07,ICC World Cup,30,Providence Stadium,Guyana,West Indies,field,MR Benson,DJ Harper,SA Bucknor,JJ Crowe,Sri Lanka,,2007/04/01,2007/04/01,113,,ST Jayasuriya,SJA Taufel,,,,,,,
1166,247485,Australia,Bangladesh,male,2006/07,ICC World Cup,29,"Sir Vivian Richards Stadium, North Sound",Antigua,Australia,field,Aleem Dar,BF Bowden,Asad Rauf,BC Broad,Australia,10,2007/03/31,2007/03/31,,,GD McGrath,RE Koertzen,true,,,,,,
1167,247484,England,Ireland,male,2006/07,ICC World Cup,28,Providence Stadium,Guyana,England,bat,BR Doctrove,SJA Taufel,SA Bucknor,RS Madugalle,England,,2007/03/30,2007/03/30,48,,PD Collingwood,DJ Harper,true,,,,,,
1168,247483,West Indies,New Zealand,male,2006/07,ICC World Cup,27,"Sir Vivian Richards Stadium, North Sound",Antigua,New Zealand,field,Asad Rauf,RE Koertzen,BF Bowden,MJ Procter,New Zealand,7,2007/03/29,2007/03/29,,,JDP Oram,Aleem Dar,,,,,,,
1169,247482,South Africa,Sri Lanka,male,2006/07,ICC World Cup,26,Providence Stadium,Guyana,Sri Lanka,bat,SA Bucknor,DJ Harper,SJA Taufel,JJ Crowe,South Africa,1,2007/03/28,2007/03/28,,,CK Langeveldt,MR Benson,true,,,SL Malinga,,,
1170,247481,West Indies,Australia,male,2006/07,ICC World Cup,25,"Sir Vivian Richards Stadium, North Sound",Antigua,West Indies,field,Aleem Dar,Asad Rauf,RE Koertzen,BC Broad,Australia,,2007/03/27,2007/03/28,103,,ML Hayden,BF Bowden,,,,,,,
1171,247480,Bangladesh,Bermuda,male,2006/07,ICC World Cup,24,"Queen's Park Oval, Port of Spain",Trinidad,Bangladesh,field,SJ Davis,IL Howell,DJ Harper,AG Hurst,Bangladesh,7,2007/03/25,2007/03/25,,,Mohammad Ashraful,Aleem Dar,true,,D/L,,,,
1172,247479,England,Kenya,male,2006/07,ICC World Cup,23,"Beausejour Stadium, Gros Islet",St Lucia,Kenya,bat,RE Koertzen,PD Parker,Asad Rauf,MJ Procter,England,7,2007/03/24,2007/03/24,,,EC Joyce,BR Doctrove,true,,,,,,
1173,247478,Australia,South Africa,male,2006/07,ICC World Cup,22,"Warner Park, Basseterre",St Kitts,South Africa,field,MR Benson,SA Bucknor,EAR de Silva,RS Madugalle,Australia,,2007/03/24,2007/03/24,83,,ML Hayden,AL Hill,true,,,,,,
1174,247477,West Indies,Ireland,male,2006/07,ICC World Cup,21,"Sabina Park, Kingston",Jamaica,Ireland,bat,BF Bowden,IJ Gould,SJA Taufel,RS Mahanama,West Indies,8,2007/03/23,2007/03/23,,,S Chanderpaul,BG Jerling,,,D/L,,,,
1175,247476,India,Sri Lanka,male,2006/07,ICC World Cup,20,"Queen's Park Oval, Port of Spain",Trinidad,India,field,Aleem Dar,DJ Harper,IL Howell,JJ Crowe,Sri Lanka,,2007/03/23,2007/03/23,69,,M Muralitharan,SJ Davis,true,,,,,,
1176,247475,Canada,New Zealand,male,2006/07,ICC World Cup,18,"Beausejour Stadium, Gros Islet",St Lucia,Canada,field,Asad Rauf,BR Doctrove,PD Parker,MJ Procter,New Zealand,,2007/03/22,2007/03/22,114,,L Vincent,RE Koertzen,true,,,,,,
1177,247474,Netherlands,Scotland,male,2006/07,ICC World Cup,19,"Warner Park, Basseterre",St Kitts,Netherlands,field,EAR de Silva,AL Hill,SA Bucknor,J Srinath,Netherlands,8,2007/03/22,2007/03/22,,,WF Stelling,MR Benson,true,,,,,,
1178,247473,Pakistan,Zimbabwe,male,2006/07,ICC World Cup,17,"Sabina Park, Kingston",Jamaica,Zimbabwe,field,BG Jerling,SJA Taufel,BF Bowden,BC Broad,Pakistan,,2007/03/21,2007/03/21,93,,Imran Nazir,IJ Gould,true,,D/L,,,,
1179,247472,Bangladesh,Sri Lanka,male,2006/07,ICC World Cup,16,"Queen's Park Oval, Port of Spain",Trinidad,Bangladesh,field,SJ Davis,DJ Harper,Aleem Dar,JJ Crowe,Sri Lanka,,2007/03/21,2007/03/21,198,,ST Jayasuriya,IL Howell,true,,D/L,,,,
1180,247471,Kenya,New Zealand,male,2006/07,ICC World Cup,14,"Beausejour Stadium, Gros Islet",St Lucia,Kenya,field,BR Doctrove,RE Koertzen,Asad Rauf,MJ Procter,New Zealand,,2007/03/20,2007/03/20,148,,LRPL Taylor,PD Parker,true,,,,,,
1181,247470,Scotland,South Africa,male,2006/07,ICC World Cup,15,"Warner Park, Basseterre",St Kitts,South Africa,field,MR Benson,EAR de Silva,AL Hill,RS Madugalle,South Africa,7,2007/03/20,2007/03/20,,,GC Smith,SA Bucknor,true,,,,,,
1182,247469,West Indies,Zimbabwe,male,2006/07,ICC World Cup,13,"Sabina Park, Kingston",Jamaica,West Indies,field,IJ Gould,SJA Taufel,BG Jerling,RS Mahanama,West Indies,6,2007/03/19,2007/03/19,,,SC Williams,BF Bowden,,,,,,,
